,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
33325,BUKIT TUNKU (KENNY HILLS),2550000.0,3.0,4.0,2.0,Condominium,2880.0,Fully Furnished
33326,SRI HARTAMAS,4072500.0,5.5,5.0,0.0,Semi-detached House,4000.0,Unfurnished
33327,MONT KIARA,4072500.0,5.5,5.0,0.0,Semi-detached House,3950.0,Fully Furnished
33328,BUKIT TUNKU (KENNY HILLS),2500000.0,5.0,4.0,2.0,Condominium,2820.0,Unfurnished
33329,BUKIT TUNKU (KENNY HILLS),2538000.0,4.0,5.0,3.0,Condominium,2827.0,Unfurnished
33330,MONT KIARA,2350000.0,5.0,2.0,0.0,Condominium,2906.0,Partly Furnished
33331,KL SENTRAL,2480000.0,4.0,4.0,4.0,Serviced Residence,1744.0,Unfurnished
33332,CITY CENTRE,3500000.0,5.5,4.0,2.0,Condominium,3685.0,Partly Furnished
33333,KLCC,1480000.0,1.5,2.0,0.0,Condominium,989.0,Fully Furnished
33334,BUKIT TUNKU (KENNY HILLS),3670000.0,5.0,5.0,3.0,Condominium,3660.0,Unfurnished
33336,BUKIT TUNKU (KENNY HILLS),1280000.0,4.0,3.0,2.0,Apartment,2088.0,Partly Furnished
33337,KLCC,3000000.0,5.0,5.0,3.0,Condominium,3800.0,Partly Furnished
33338,BUKIT TUNKU (KENNY HILLS),1270000.0,4.0,3.0,2.0,Condominium,1840.0,Unfurnished
33339,BUKIT TUNKU (KENNY HILLS),1500000.0,4.0,3.0,2.0,Condominium,1925.0,Unfurnished
33340,KLCC,4072500.0,5.0,2.0,0.0,Serviced Residence,2525.0,Unfurnished
33341,AMPANG HILIR,3200000.0,4.0,4.0,3.0,2.5-sty Terrace/Link House,3500.0,Partly Furnished
33342,AMPANG HILIR,4072500.0,5.0,5.0,3.0,Condominium,4477.5,Partly Furnished
33343,SRI HARTAMAS,680000.0,3.0,2.0,1.0,Condominium,1250.0,Fully Furnished
33344,KLCC,4072500.0,5.5,6.0,0.0,Condominium,4477.5,Partly Furnished
33345,AMPANG HILIR,3400000.0,4.0,4.0,0.0,Condominium,3307.0,Partly Furnished
33346,AMPANG HILIR,4000000.0,5.0,4.0,0.0,Condominium,3570.0,Partly Furnished
33347,CITY CENTRE,4072500.0,5.5,3.0,0.0,Condominium,4477.5,Unfurnished
33348,BUKIT TUNKU (KENNY HILLS),2900000.0,5.0,5.0,0.0,Condominium,3133.0,Partly Furnished
33349,BUKIT TUNKU (KENNY HILLS),2200000.0,5.0,3.0,0.0,Condominium,3600.0,Partly Furnished
33350,KLCC,2700000.0,4.0,4.0,0.0,Condominium,3109.0,Partly Furnished
33351,BUKIT TUNKU (KENNY HILLS),1700000.0,5.0,2.0,0.0,Condominium,2340.0,Partly Furnished
33352,BUKIT TUNKU (KENNY HILLS),1260000.0,4.0,2.0,0.0,Condominium,1780.0,Partly Furnished
33353,BANGSAR,4072500.0,4.0,4.0,0.0,Condominium,3613.0,Partly Furnished
33354,CITY CENTRE,2350000.0,3.0,3.0,0.0,Condominium,2389.0,Fully Furnished
33355,CITY CENTRE,4000000.0,4.0,3.0,0.0,Serviced Residence,2249.0,Fully Furnished
33356,CITY CENTRE,1850000.0,3.0,3.0,0.0,Serviced Residence,1442.0,Fully Furnished
33357,KLCC,1630000.0,4.0,5.0,0.0,Condominium,1793.0,Fully Furnished
33358,KLCC,900000.0,4.0,1.0,1.0,Condominium,657.0,Partly Furnished
33359,MONT KIARA,3200000.0,5.0,5.0,0.0,Bungalow,3800.0,Unfurnished
33360,AMPANG HILIR,4072500.0,5.0,2.0,0.0,Condominium,4350.0,Unfurnished
33361,BANGSAR,520000.0,2.0,2.0,1.0,Condominium,700.0,Fully Furnished
33362,BUKIT BINTANG,738000.0,2.0,1.0,1.0,Serviced Residence,775.0,Fully Furnished
33363,KLCC,2400000.0,2.0,2.0,1.0,Serviced Residence,1006.0,Fully Furnished
33364,CHERAS,618000.0,4.0,3.0,0.0,Condominium,2153.0,Unfurnished
33365,BRICKFIELDS,1100000.0,3.0,2.0,0.0,Condominium,1580.0,Unfurnished
33366,KEPONG,420000.0,3.0,2.0,2.0,Condominium,901.0,Unfurnished
33367,CITY CENTRE,4072500.0,5.0,5.0,0.0,Serviced Residence,4477.5,Fully Furnished
33368,KL SENTRAL,2300000.0,4.0,2.0,1.0,Serviced Residence,766.0,Unfurnished
33369,KLCC,2550000.0,4.0,4.0,3.0,Condominium,3109.0,Partly Furnished
33370,BANGSAR,4072500.0,5.0,3.0,0.0,Bungalow,4477.5,Partly Furnished
33371,KLCC,2980000.0,5.0,4.0,2.0,Serviced Residence,3080.0,Unfurnished
33372,KLCC,4072500.0,5.0,4.0,2.0,Serviced Residence,3897.0,Fully Furnished
33373,KLCC,4000000.0,4.0,4.0,2.0,Serviced Residence,3897.0,Partly Furnished
33374,CITY CENTRE,1580000.0,2.0,2.0,0.0,Serviced Residence,1131.0,Unfurnished
33375,KL SENTRAL,4072500.0,4.0,2.0,0.0,Serviced Residence,4253.0,Unfurnished
33376,CITY CENTRE,4072500.0,4.0,5.0,0.0,Serviced Residence,4130.0,Fully Furnished
33377,DAMANSARA HEIGHTS,4072500.0,5.5,5.0,0.0,Bungalow,4477.5,Partly Furnished
33378,KLCC,2900000.0,4.0,3.0,0.0,Serviced Residence,1927.0,Partly Furnished
33379,KLCC,2620000.0,5.0,4.0,0.0,Serviced Residence,2343.0,Partly Furnished
33380,CITY CENTRE,1220000.0,2.0,2.0,0.0,Condominium,1411.0,Partly Furnished
33381,CITY CENTRE,4072500.0,5.5,7.0,0.0,Serviced Residence,4477.5,Partly Furnished
33382,TAMAN DUTA,4072500.0,5.0,4.0,0.0,Bungalow,4477.5,Partly Furnished
33383,BUKIT TUNKU (KENNY HILLS),2180000.0,3.0,3.0,0.0,Condominium,2880.0,Partly Furnished
33384,BUKIT JALIL,950000.0,5.0,3.0,3.0,Condominium,1513.0,Partly Furnished
33385,KLCC,4072500.0,4.0,5.0,2.0,Serviced Residence,2195.0,Partly Furnished
33386,PANTAI,1990000.0,5.0,5.0,0.0,Semi-detached House,2240.0,Partly Furnished
33387,KLCC,850000.0,1.5,1.0,1.0,Serviced Residence,603.0,Fully Furnished
33388,KLCC,2340800.0,3.0,2.0,2.0,Serviced Residence,1463.0,Partly Furnished
33390,KLCC,1450000.0,2.0,2.0,0.0,Serviced Residence,840.0,Fully Furnished
33391,KL CITY,820000.0,1.5,1.0,1.0,Serviced Residence,657.0,Fully Furnished
33392,JALAN KLANG LAMA (OLD KLANG ROAD),375000.0,1.5,2.0,1.0,Serviced Residence,775.0,Partly Furnished
33393,AMPANG HILIR,3116750.0,5.0,4.0,2.0,Condominium,3562.0,Partly Furnished
33394,AMPANG HILIR,2590000.0,5.0,3.0,3.0,Condominium,2665.0,Partly Furnished
33395,KLCC,1850000.0,4.0,5.0,0.0,Serviced Residence,2326.0,Fully Furnished
33396,KLCC,4072500.0,5.0,6.0,2.0,Serviced Residence,4206.0,Partly Furnished
33397,KLCC,4072500.0,4.0,4.0,2.0,Condominium,2250.0,Partly Furnished
33398,KLCC,3900000.0,4.0,5.0,2.0,Serviced Residence,3896.0,Partly Furnished
33399,CHERAS,580000.0,4.0,2.0,0.0,Condominium,1200.0,Partly Furnished
33400,KLCC,2080000.0,4.0,5.0,0.0,Serviced Residence,2096.0,Partly Furnished
33401,KLCC,1700000.0,5.0,5.0,2.0,Condominium,2497.0,Fully Furnished
33402,KL SENTRAL,3000000.0,4.0,4.0,0.0,Serviced Residence,1800.0,Fully Furnished
33403,SUNGAI BESI,577000.0,3.0,2.0,2.0,Condominium,1127.0,Fully Furnished
33404,KL CITY,1500000.0,4.0,4.0,1.0,Condominium,2400.0,Fully Furnished
33405,AMPANG,985000.0,1.5,1.0,1.0,Serviced Residence,853.0,Partly Furnished
33406,KLCC,2100000.0,5.0,4.0,4.0,Condominium,1905.0,Fully Furnished
33407,OUG,4000000.0,5.5,7.0,4.0,Semi-detached House,4477.5,Partly Furnished
33409,KLCC,1700000.0,2.0,2.0,1.0,Serviced Residence,1249.0,Fully Furnished
33410,AMPANG,2000000.0,4.0,4.0,2.0,Apartment,2400.0,Partly Furnished
33411,BUKIT TUNKU (KENNY HILLS),1550000.0,4.0,4.0,1.0,Condominium,2000.0,Fully Furnished
33412,AMPANG,1600000.0,4.0,3.0,0.0,Condominium,1831.0,Fully Furnished
33413,KEPONG,900000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1760.0,Fully Furnished
33414,KLCC,4059000.0,5.0,6.0,2.0,Serviced Residence,3383.0,Partly Furnished
33415,AMPANG HILIR,4072500.0,5.0,6.0,2.0,Condominium,3765.0,Fully Furnished
33416,AMPANG HILIR,1700000.0,4.0,3.0,2.0,Serviced Residence,1630.0,Fully Furnished
33417,BUKIT BINTANG,3000000.0,2.0,3.0,1.0,Serviced Residence,1307.0,Fully Furnished
33418,BUKIT BINTANG,1913100.0,4.0,3.0,2.0,Condominium,1822.0,Fully Furnished
33419,AMPANG HILIR,4072500.0,5.0,5.0,0.0,Condominium,4300.0,Partly Furnished
33420,KLCC,1700000.0,2.0,2.0,0.0,Serviced Residence,1249.0,Fully Furnished
33421,KLCC,2500000.0,5.0,5.0,0.0,Condominium,4477.5,Partly Furnished
33422,SENTUL,570000.0,3.0,2.0,1.0,Condominium,1081.0,Partly Furnished
33423,KLCC,1756000.0,3.0,4.0,0.0,Condominium,2195.0,Fully Furnished
33424,CITY CENTRE,2300000.0,2.0,2.0,2.0,Condominium,1600.0,Partly Furnished
33425,KLCC,3441000.0,4.0,5.0,2.0,Condominium,2294.0,Fully Furnished
33426,CITY CENTRE,1450000.0,4.0,5.0,2.0,Condominium,2647.0,Fully Furnished
33427,BUKIT TUNKU (KENNY HILLS),1800000.0,5.0,4.0,2.0,Condominium,2526.0,Partly Furnished
33428,BUKIT BINTANG,1260000.0,2.0,1.0,0.0,Serviced Residence,904.0,Fully Furnished
33429,DAMANSARA HEIGHTS,1100000.0,4.0,3.0,2.0,Condominium,1979.0,Partly Furnished
33430,TITIWANGSA,4072500.0,5.5,6.0,4.0,Residential Land,4477.5,Partly Furnished
33431,KERAMAT,4072500.0,5.0,6.0,2.0,Condominium,4477.5,Unfurnished
33432,KLCC,2800000.0,5.0,5.0,3.0,Serviced Residence,3315.0,Fully Furnished
